text,label
University opens new economy center,REAL
Researchers publish study on India,REAL
University opens new climate center,REAL
Drinking education grants invisibility,FAKE
Company announces health update,REAL
Company announces economy update,REAL
Aliens reveal secret about technology,FAKE
Researchers publish study on economy,REAL
Time traveler predicts technology tomorrow,FAKE
Government launches new health initiative,REAL
Government launches new India initiative,REAL
Government launches new climate initiative,REAL
Company announces climate update,REAL
Aliens reveal secret about technology,FAKE
Health ministry issues economy guidelines,REAL
Aliens reveal secret about sports,FAKE
Time traveler predicts technology tomorrow,FAKE
Government launches new India initiative,REAL
Drinking banking grants invisibility,FAKE
Time traveler predicts Hyderabad tomorrow,FAKE
Researchers publish study on space,REAL
Government launches new sports initiative,REAL
Celebrity becomes ruler of banking,FAKE
Researchers publish study on India,REAL
Health ministry issues sports guidelines,REAL
Company announces economy update,REAL
Researchers publish study on climate,REAL
Government launches new Hyderabad initiative,REAL
Time traveler predicts India tomorrow,FAKE
Health ministry issues climate guidelines,REAL
University opens new climate center,REAL
Government launches new Hyderabad initiative,REAL
Time traveler predicts India tomorrow,FAKE
Scientists confirm dragons live in economy,FAKE
University opens new banking center,REAL
Company announces sports update,REAL
Celebrity becomes ruler of education,FAKE
Government launches new India initiative,REAL
Time traveler predicts banking tomorrow,FAKE
Time traveler predicts technology tomorrow,FAKE
University opens new sports center,REAL
Drinking India grants invisibility,FAKE
University opens new AI center,REAL
Company announces space update,REAL
Celebrity becomes ruler of Hyderabad,FAKE
Time traveler predicts agriculture tomorrow,FAKE
University opens new economy center,REAL
Company announces economy update,REAL
Aliens reveal secret about Hyderabad,FAKE
Celebrity becomes ruler of space,FAKE
University opens new sports center,REAL
Time traveler predicts banking tomorrow,FAKE
Researchers publish study on health,REAL
Health ministry issues sports guidelines,REAL
Aliens reveal secret about Hyderabad,FAKE
Health ministry issues space guidelines,REAL
Drinking Hyderabad grants invisibility,FAKE
Drinking education grants invisibility,FAKE
Researchers publish study on sports,REAL
Aliens reveal secret about Hyderabad,FAKE
Time traveler predicts India tomorrow,FAKE
Celebrity becomes ruler of agriculture,FAKE
Aliens reveal secret about climate,FAKE
Health ministry issues education guidelines,REAL
Health ministry issues banking guidelines,REAL
Aliens reveal secret about agriculture,FAKE
Time traveler predicts agriculture tomorrow,FAKE
Company announces economy update,REAL
Researchers publish study on AI,REAL
University opens new technology center,REAL
Scientists confirm dragons live in health,FAKE
University opens new technology center,REAL
Government launches new economy initiative,REAL
Celebrity becomes ruler of technology,FAKE
Time traveler predicts technology tomorrow,FAKE
Health ministry issues agriculture guidelines,REAL
Time traveler predicts agriculture tomorrow,FAKE
Aliens reveal secret about AI,FAKE
Government launches new space initiative,REAL
Government launches new health initiative,REAL
Drinking economy grants invisibility,FAKE
University opens new sports center,REAL
Celebrity becomes ruler of AI,FAKE
Researchers publish study on Hyderabad,REAL
Time traveler predicts Hyderabad tomorrow,FAKE
Time traveler predicts climate tomorrow,FAKE
University opens new India center,REAL
Health ministry issues AI guidelines,REAL
Company announces health update,REAL
Health ministry issues agriculture guidelines,REAL
Health ministry issues technology guidelines,REAL
Drinking AI grants invisibility,FAKE
Researchers publish study on banking,REAL
Drinking AI grants invisibility,FAKE
Researchers publish study on technology,REAL
Company announces sports update,REAL
Health ministry issues sports guidelines,REAL
Aliens reveal secret about banking,FAKE
Scientists confirm dragons live in banking,FAKE
Aliens reveal secret about economy,FAKE
Health ministry issues economy guidelines,REAL
